"term","frequency","type_"
"10124",16,"BOOK_CHAPTER"
"10124",17,"ARTICLE"
"1014",2,"ABSTRACT"
"1014",4,"ARTICLE"
"1016",1,"ARTICLE"
"1017",2,"ABSTRACT"
"1018",2,"ARTICLE"
"1019",2,"ARTICLE"
"1019ev",4,"ARTICLE"
"101º",1,"SPEAKER"
"101st",1,"SPEAKER"
"102",4,"ABSTRACT"
"1020",10,"ARTICLE"
"102p",1,"ARTICLE"
"103",2,"ARTICLE"
"103",3,"SPEAKER"
"104",2,"ABSTRACT"
"1045",2,"ARTICLE"
"1048753",8,"BOOK_CHAPTER"
"105",2,"ARTICLE"
"105",4,"ABSTRACT"
"1051",8,"BOOK_CHAPTER"
"1052",2,"ARTICLE"
"1054",2,"ABSTRACT"
"106",2,"ABSTRACT"
"106",4,"ARTICLE"
"10639",2,"SPEAKER"
"10639",5,"ABSTRACT"
"10639",8,"BOOK"
"10639",14,"ARTICLE"
"10639",48,"BOOK_CHAPTER"
"10670103",4,"ARTICLE"
"106º",1,"SPEAKER"
"107",8,"BOOK"
"1073",2,"ABSTRACT"
"1080",2,"ARTICLE"
"1095",2,"ARTICLE"
"109º",1,"SPEAKER"
"10a",3,"SPEAKER"
"10ª",35,"SPEAKER"
"10art",2,"SPEAKER"
"10e14",2,"ARTICLE"
"10o",9,"SPEAKER"
"10º",8,"BOOK"
"10º",111,"SPEAKER"
"10q22",2,"ARTICLE"
"10th",2,"ARTICLE"
"10th",12,"SPEAKER"
"10w",2,"ARTICLE"
"110",3,"SPEAKER"
"110",4,"ARTICLE"
"110",16,"BOOK"
"111",1,"SPEAKER"
"111",2,"ABSTRACT"
"111",10,"ARTICLE"
"1112",1,"ABSTRACT"
"11154",2,"ABSTRACT"
"1116",2,"ABSTRACT"
"111º",1,"SPEAKER"
"112",1,"ABSTRACT"
"112",1,"SPEAKER"
"112",2,"ARTICLE"
"11280",2,"SPEAKER"
"11303",1,"ABSTRACT"
"113808",2,"ARTICLE"
"1139",2,"ABSTRACT"
"113p",2,"ARTICLE"
"114",4,"ARTICLE"
"115",2,"ARTICLE"
"115",3,"ABSTRACT"
"116",4,"ABSTRACT"
"116",8,"BOOK_CHAPTER"
"116",10,"ARTICLE"
"11645",2,"SPEAKER"
"11645",8,"BOOK_CHAPTER"
"1165",2,"ABSTRACT"
"1167",1,"SPEAKER"
"116º",1,"SPEAKER"
"1179",2,"ABSTRACT"
"118",4,"ARTICLE"
"11818",2,"ABSTRACT"
"119",2,"ARTICLE"
"119487",2,"ABSTRACT"
"11a",5,"SPEAKER"
"11ª",20,"SPEAKER"
"11ªconferencia",1,"SPEAKER"
"11be",1,"ARTICLE"
"11no",2,"SPEAKER"
"11o",13,"SPEAKER"
"11º",89,"SPEAKER"
"11ºseminário",8,"BOOK"
"11th",2,"ARTICLE"
"11th",27,"SPEAKER"
"120",3,"ABSTRACT"
"120",6,"ARTICLE"
"120",11,"SPEAKER"
"120",24,"BOOK_CHAPTER"
"120278",2,"SPEAKER"
"120279",2,"SPEAKER"
"120280",2,"SPEAKER"
"120284",2,"SPEAKER"
"120287",1,"SPEAKER"
"120290",2,"SPEAKER"
"120294",2,"SPEAKER"
"120295",1,"SPEAKER"
"120296",1,"SPEAKER"
"120297",1,"SPEAKER"
"1205",2,"ABSTRACT"
"1206",2,"ARTICLE"
"12081",2,"ABSTRACT"
"121",2,"ABSTRACT"
"121",2,"ARTICLE"
"1212",2,"ARTICLE"
"122",6,"ARTICLE"
"122",40,"BOOK_CHAPTER"
"1225",2,"ARTICLE"
"123",1,"SPEAKER"
"1232",1,"ABSTRACT"
"1233",2,"ARTICLE"
"123456789",2,"ABSTRACT"
"1243",2,"ABSTRACT"
"125",1,"ARTICLE"
"125",6,"SPEAKER"
"125i",2,"ARTICLE"
"125th",1,"SPEAKER"
"126",1,"ABSTRACT"
"126",4,"ARTICLE"
"12641",2,"ABSTRACT"
"127",2,"ABSTRACT"
"128",2,"ABSTRACT"
"128",2,"ARTICLE"
"129",1,"SPEAKER"
"12a",10,"SPEAKER"
"12ª",18,"SPEAKER"
"12c",1,"ABSTRACT"
"12c",1,"ARTICLE"
"12h",1,"SPEAKER"
"12o",13,"SPEAKER"
"12º",95,"SPEAKER"
"12p70",2,"ARTICLE"
"12th",22,"SPEAKER"
"130",2,"ABSTRACT"
"130",7,"SPEAKER"
"1301",2,"ABSTRACT"
"13021",2,"ABSTRACT"
"13083",5,"ARTICLE"
"131",2,"ARTICLE"
"1315",2,"ABSTRACT"
"131i",2,"ARTICLE"
"132",2,"ARTICLE"
"1324",2,"ABSTRACT"
"1327",2,"ARTICLE"
"133",2,"ARTICLE"
"13304",4,"ARTICLE"
"13430",1,"ABSTRACT"
"13485",2,"ABSTRACT"
"135",4,"ARTICLE"
"135",7,"BOOK_CHAPTER"
"1355",2,"ABSTRACT"
"136",2,"ABSTRACT"
"136",4,"ARTICLE"
"137",4,"ARTICLE"
"137",8,"BOOK_CHAPTER"
"1371",1,"ABSTRACT"
"137cs",4,"ARTICLE"
"138",3,"ARTICLE"
"138",4,"ABSTRACT"
"1386",2,"ARTICLE"
"139",2,"ARTICLE"
"1398a",5,"ARTICLE"
"13a",2,"SPEAKER"
"13ª",20,"SPEAKER"
"13c",2,"ABSTRACT"
"13c",12,"ARTICLE"
"13e",2,"SPEAKER"
"13ème",2,"SPEAKER"
"13o",17,"SPEAKER"
"13º",99,"SPEAKER"
"13th",18,"SPEAKER"
"140",2,"ABSTRACT"
"140",8,"BOOK"
"140",8,"BOOK_CHAPTER"
"140",10,"ARTICLE"
"14000",1,"SPEAKER"
"14000",2,"ABSTRACT"
"14001",3,"ABSTRACT"
"14001",16,"BOOK"
"14001",16,"BOOK_CHAPTER"
"14031",8,"BOOK_CHAPTER"
"1414",7,"ARTICLE"
"1415",1,"SPEAKER"
"1415",4,"ABSTRACT"
"1415854x",2,"ABSTRACT"
"142",1,"ABSTRACT"
"142",2,"ARTICLE"
"143",1,"ABSTRACT"
"143",1,"SPEAKER"
"1432",2,"ARTICLE"
"1434",1,"ABSTRACT"
"14350",2,"ABSTRACT"
"144",2,"ABSTRACT"
"144",4,"ARTICLE"
"1447",1,"ABSTRACT"
"145",2,"ARTICLE"
"145",7,"BOOK_CHAPTER"
"145",8,"BOOK"
"1451",1,"ABSTRACT"
"14584",2,"ABSTRACT"
"146",2,"SPEAKER"
"146",3,"ABSTRACT"
"146",7,"BOOK_CHAPTER"
"146",48,"ARTICLE"
"1464",2,"ARTICLE"
"14647893",2,"ARTICLE"
"1466",2,"ABSTRACT"
"147",1,"SPEAKER"
"147",8,"BOOK_CHAPTER"
"14724",1,"ARTICLE"
"14724",8,"BOOK"
"148",2,"ABSTRACT"
"1484",2,"ARTICLE"
"1485",2,"ABSTRACT"
"149",2,"ARTICLE"
"1492",2,"SPEAKER"
"1492",8,"BOOK"
"14a",3,"SPEAKER"
"14ª",24,"SPEAKER"
"14o",10,"SPEAKER"
"14º",41,"SPEAKER"
"14th",8,"SPEAKER"
"150",2,"SPEAKER"
"150",8,"BOOK"
"1500",7,"BOOK"
"1500",18,"ARTICLE"
"151",4,"ABSTRACT"
"1516",2,"ARTICLE"
"1518",12,"ARTICLE"
"152",1,"ABSTRACT"
"152",2,"ARTICLE"
"1521",1,"ABSTRACT"
"1522",2,"SPEAKER"
"15226",2,"SPEAKER"
"1527",2,"ARTICLE"
"1528",8,"BOOK_CHAPTER"
"15287",1,"ARTICLE"
"15287",8,"BOOK"
"153",2,"ABSTRACT"
"153",8,"BOOK_CHAPTER"
"1530",2,"ABSTRACT"
"1531",2,"ARTICLE"
"1536",2,"ABSTRACT"
"154",2,"ARTICLE"
"1549",6,"ARTICLE"
"154p",8,"BOOK"
"155",1,"SPEAKER"
"1551",2,"ARTICLE"
"1551266856460047",1,"ABSTRACT"
"156",2,"SPEAKER"
"156",3,"ARTICLE"
"156",7,"BOOK_CHAPTER"
"1565",1,"ABSTRACT"
"1573",2,"ABSTRACT"
"1574",8,"BOOK_CHAPTER"
"158",4,"ABSTRACT"
"158",4,"SPEAKER"
"1583",2,"ABSTRACT"
"1591",8,"BOOK_CHAPTER"
"1594",2,"ARTICLE"
"1595",8,"BOOK_CHAPTER"
"15a",1,"ABSTRACT"
"15a",2,"SPEAKER"
"15ª",21,"SPEAKER"
"15âºc",1,"ARTICLE"
"15ªsemana",2,"SPEAKER"
"15b",1,"ARTICLE"
"15h",1,"SPEAKER"
"15n",2,"ARTICLE"
"15o",3,"SPEAKER"
"15º",60,"SPEAKER"
"15ºc",1,"ARTICLE"
"15ºenpeg",2,"SPEAKER"
"15p",2,"ARTICLE"
"15th",9,"SPEAKER"
"160",3,"ABSTRACT"
"160",8,"ARTICLE"
"1600",2,"ARTICLE"
"160015",1,"ABSTRACT"
"1605",2,"ARTICLE"
"161",1,"ABSTRACT"
"161",32,"BOOK_CHAPTER"
"162",1,"SPEAKER"
"162",8,"BOOK_CHAPTER"
"1620",8,"BOOK_CHAPTER"
"1625",8,"BOOK_CHAPTER"
"163",4,"ARTICLE"
"1637",1,"ABSTRACT"
"1637",2,"ARTICLE"
"1637",7,"BOOK_CHAPTER"
"1641",8,"BOOK_CHAPTER"
"1642",1,"ABSTRACT"
"165",2,"ARTICLE"
"1650",2,"ARTICLE"
"1655",1,"ABSTRACT"
"1656",1,"ARTICLE"
"166",2,"ARTICLE"
"1660",2,"ABSTRACT"
"166p",1,"ARTICLE"
"167",1,"ABSTRACT"
"167",6,"ARTICLE"
"1675",1,"ABSTRACT"
"16770",2,"ABSTRACT"
"1678",6,"ARTICLE"
"16787684",2,"ABSTRACT"
"1679",2,"ARTICLE"
"168",1,"SPEAKER"
"168",2,"ABSTRACT"
"1680",2,"ABSTRACT"
"168er",2,"ARTICLE"
"169",2,"ABSTRACT"
"1690",2,"ARTICLE"
"1690",8,"BOOK_CHAPTER"
"1692",8,"BOOK"
"16949",2,"ABSTRACT"
"1697",2,"ARTICLE"
"16a",2,"ARTICLE"
"16ª",15,"SPEAKER"
"16h",2,"ABSTRACT"
"16mm",2,"ARTICLE"
"16o",5,"SPEAKER"
"16º",67,"SPEAKER"
"16s",19,"ARTICLE"
"16th",20,"SPEAKER"
"170",2,"ARTICLE"
"1705",1,"ARTICLE"
"1706",1,"ARTICLE"
"1709",2,"ABSTRACT"
"171",1,"ABSTRACT"
"1710",2,"ARTICLE"
"171p",8,"BOOK_CHAPTER"
"172",8,"BOOK_CHAPTER"
"1720",4,"ARTICLE"
"1720",8,"BOOK"
"1722",2,"ARTICLE"
"1722",8,"BOOK_CHAPTER"
"1723",2,"ARTICLE"
"1727487434803907",2,"ABSTRACT"
"17299",2,"ARTICLE"
"173",24,"BOOK_CHAPTER"
"1730",1,"ABSTRACT"
"1730",2,"ARTICLE"
"1730",8,"BOOK_CHAPTER"
"1730341",2,"ARTICLE"
"1730web",2,"ABSTRACT"
"1734",3,"ABSTRACT"
"1735",2,"ARTICLE"
"17388",2,"ARTICLE"
"174",6,"ARTICLE"
"1748",8,"BOOK_CHAPTER"
"1749",8,"BOOK_CHAPTER"
"1750",8,"BOOK_CHAPTER"
"1750",9,"ARTICLE"
"1751",2,"ABSTRACT"
"1751",2,"ARTICLE"
"1752",8,"BOOK_CHAPTER"
"1753",2,"ARTICLE"
"17574",1,"ABSTRACT"
"1758",8,"BOOK"
"1758",68,"ARTICLE"
"1758",88,"BOOK_CHAPTER"
"1759",4,"ARTICLE"
"1759",24,"BOOK_CHAPTER"
"1760",1,"ABSTRACT"
"1760",2,"ARTICLE"
"1761",2,"ARTICLE"
"1762",1,"ABSTRACT"
"1762",10,"ARTICLE"
"1763",9,"ARTICLE"
"1764",1,"ARTICLE"
"1764",8,"BOOK_CHAPTER"
"1766",11,"ARTICLE"
"1768",2,"ARTICLE"
"1769",4,"ARTICLE"
"1770",8,"BOOK_CHAPTER"
"1771",2,"ARTICLE"
"1772",1,"ARTICLE"
"1773",8,"BOOK_CHAPTER"
"1774",1,"ARTICLE"
"1775",7,"ARTICLE"
"1777",2,"ARTICLE"
"1777",16,"BOOK_CHAPTER"
"1778",4,"ARTICLE"
"178",2,"ARTICLE"
"178",8,"BOOK_CHAPTER"
"1780",1,"ARTICLE"
"1780",8,"BOOK_CHAPTER"
"1781",2,"ARTICLE"
"1782",2,"ABSTRACT"
"1783",2,"ARTICLE"
"1786",2,"ARTICLE"
"1787",4,"ARTICLE"
"1788",1,"ABSTRACT"
"1788",2,"ARTICLE"
"1789",2,"ARTICLE"
"179",2,"ARTICLE"
"1790",1,"ARTICLE"
"1791",6,"ARTICLE"
"1793",2,"ARTICLE"
"1794",9,"ARTICLE"
"1794",16,"BOOK_CHAPTER"
"1796",2,"ARTICLE"
"1797",1,"ABSTRACT"
"1798",6,"ARTICLE"
"1798",8,"BOOK"
"1798",24,"BOOK_CHAPTER"
"1799",2,"ARTICLE"
"17a",1,"ARTICLE"
"17ª",7,"SPEAKER"
"17c",2,"ARTICLE"
"17o",8,"SPEAKER"
"17º",71,"SPEAKER"
"17p",2,"ARTICLE"
"17q12",2,"ARTICLE"
"17q21",2,"ARTICLE"
"17th",4,"SPEAKER"
"180",1,"ABSTRACT"
"1800",1,"ABSTRACT"
"1800",1,"ARTICLE"
"1800",8,"BOOK_CHAPTER"
"1801",5,"ARTICLE"
"1801",24,"BOOK"
"1802",1,"SPEAKER"
"1802",21,"ARTICLE"
"1803",10,"ARTICLE"
"1804",6,"ARTICLE"
"1804",8,"BOOK"
"1805",24,"BOOK"
"1806",2,"ARTICLE"
"1807",3,"ARTICLE"
"1808",2,"ABSTRACT"
"1808",8,"BOOK"
"1808",8,"BOOK_CHAPTER"
"1808",19,"ARTICLE"
"1809",2,"ABSTRACT"
"1809",6,"ARTICLE"
"1809",14,"BOOK"
"181",6,"ARTICLE"
"1810",5,"ARTICLE"
"1810",8,"BOOK_CHAPTER"
"1810",16,"BOOK"
"1811",8,"BOOK_CHAPTER"
"1811",15,"ARTICLE"
"1814",4,"ARTICLE"
"1815",11,"ARTICLE"
"1816",9,"ARTICLE"
"1816",16,"BOOK_CHAPTER"
"1817",5,"ARTICLE"
"1818",2,"ABSTRACT"
"1818",2,"SPEAKER"
"1818",6,"ARTICLE"
"1818",32,"BOOK_CHAPTER"
"1819",24,"ARTICLE"
"1820",12,"ARTICLE"
"1820",16,"BOOK_CHAPTER"
"1821",8,"BOOK_CHAPTER"
"1821",20,"ARTICLE"
"1821",24,"BOOK"
"1822",24,"BOOK_CHAPTER"
"1822",42,"ARTICLE"
"1823",9,"ARTICLE"
"1823",16,"BOOK_CHAPTER"
"1824",2,"ABSTRACT"
"1824",32,"BOOK_CHAPTER"
"1824",34,"ARTICLE"
"1825",2,"SPEAKER"
"1825",17,"ARTICLE"
"1826",9,"ARTICLE"
"1827",1,"ARTICLE"
"1827",8,"BOOK_CHAPTER"
"1828",8,"BOOK"
"1828",14,"ARTICLE"
"1828",16,"BOOK_CHAPTER"
"1829",4,"ARTICLE"
"183",1,"SPEAKER"
"183",8,"BOOK_CHAPTER"
"1830",2,"SPEAKER"
"1830",8,"BOOK_CHAPTER"
"1830",16,"ARTICLE"
"1831",1,"ABSTRACT"
"1831",8,"ARTICLE"
"1831",8,"BOOK_CHAPTER"
"1832",4,"ARTICLE"
"1832",24,"BOOK_CHAPTER"
"1833",5,"ARTICLE"
"1834",6,"ARTICLE"
"1834",8,"BOOK"
"1834",16,"BOOK_CHAPTER"
"1835",2,"ABSTRACT"
"1835",7,"ARTICLE"
"1835",8,"BOOK_CHAPTER"
"1835",16,"BOOK"
"1836",8,"BOOK"
"1836",12,"ARTICLE"
"1836",16,"BOOK_CHAPTER"
"1837",4,"ARTICLE"
"1839",2,"ARTICLE"
"1840",3,"ABSTRACT"
"1840",16,"BOOK_CHAPTER"
"1840",20,"ARTICLE"
"1841",6,"ARTICLE"
"1842",14,"ARTICLE"
"1843",4,"ARTICLE"
"1843",8,"BOOK_CHAPTER"
"1844",8,"BOOK_CHAPTER"
"1845",2,"ARTICLE"
"1846",4,"ARTICLE"
"1849",11,"ARTICLE"
"1850",2,"ABSTRACT"
"1850",16,"BOOK"
"1850",21,"ARTICLE"
"1850",24,"BOOK_CHAPTER"
"1851",4,"ABSTRACT"
"1851",4,"ARTICLE"
"1851",8,"BOOK"
"1851",24,"BOOK_CHAPTER"
"1852",10,"ARTICLE"
"1852",16,"BOOK_CHAPTER"
"1853",9,"ARTICLE"
"1854",12,"ARTICLE"
"1855",2,"ARTICLE"
"1855",8,"BOOK"
"1856",6,"ARTICLE"
"1856",16,"BOOK_CHAPTER"
"1857",4,"ARTICLE"
"1857",24,"BOOK_CHAPTER"
"1858",8,"ARTICLE"
"1858",16,"BOOK"
"1859",6,"ARTICLE"
"1859",8,"BOOK_CHAPTER"
"186",4,"ARTICLE"
"1860",8,"BOOK"
"1860",8,"BOOK_CHAPTER"
"1860",20,"ARTICLE"
"1861",8,"ARTICLE"
"1861",8,"BOOK"
"1862",2,"ABSTRACT"
"1862",21,"ARTICLE"
"1863",16,"BOOK"
"1863",34,"ARTICLE"
"1864",20,"ARTICLE"
"1864",48,"BOOK_CHAPTER"
"1865",1,"ARTICLE"
"1865",8,"BOOK_CHAPTER"
"1866",1,"ARTICLE"
"1866",8,"BOOK_CHAPTER"
"1867",8,"ARTICLE"
"1868",8,"BOOK_CHAPTER"
"1868",12,"ARTICLE"
"1869",6,"ARTICLE"
"1870",2,"ABSTRACT"
"1870",2,"SPEAKER"
"1870",8,"BOOK"
"1870",15,"ARTICLE"
"1870",24,"BOOK_CHAPTER"
"1871",2,"SPEAKER"
"1871",8,"ARTICLE"
"1871",24,"BOOK_CHAPTER"
"1872",2,"ARTICLE"
"1872",4,"ABSTRACT"
"1872",8,"BOOK"
"1873",3,"ARTICLE"
"1874",2,"ABSTRACT"
"1874",6,"ARTICLE"
"1875",4,"ARTICLE"
"1875",8,"BOOK_CHAPTER"
"1876",14,"ARTICLE"
"1877",7,"BOOK_CHAPTER"
"1877",9,"ARTICLE"
"1878",8,"ARTICLE"
"1878",8,"BOOK"
"1879",2,"ARTICLE"
"1880",4,"ABSTRACT"
"1880",8,"BOOK_CHAPTER"
"1880",13,"ARTICLE"
"1880",32,"BOOK"
"1881",8,"ARTICLE"
"1881",16,"BOOK_CHAPTER"
"1882",2,"ARTICLE"
"1883",2,"ARTICLE"
"1883",8,"BOOK_CHAPTER"
"1885",9,"ARTICLE"
"1887",18,"ARTICLE"
"1888",5,"SPEAKER"
"1888",16,"ARTICLE"
"1888",16,"BOOK"
"1888",24,"BOOK_CHAPTER"
"1889",4,"ABSTRACT"
"1889",8,"BOOK_CHAPTER"
"1889",25,"ARTICLE"
"1889",32,"BOOK"
"18892",2,"ABSTRACT"
"1890",4,"SPEAKER"
"1890",23,"ARTICLE"
"1890",32,"BOOK"
"1890",32,"BOOK_CHAPTER"
"1891",4,"ARTICLE"
"1892",1,"ARTICLE"
"1892",16,"BOOK"
"1893",2,"ABSTRACT"
"1893",5,"ARTICLE"
"1894",7,"BOOK_CHAPTER"
"1894",10,"ARTICLE"
"1895",11,"ARTICLE"
"1895",16,"BOOK_CHAPTER"
"1896",1,"ABSTRACT"
"1896",7,"ARTICLE"
"1896",8,"BOOK_CHAPTER"
"1897",1,"ABSTRACT"
"1897",8,"BOOK"
"1897",18,"ARTICLE"
"1897",24,"BOOK_CHAPTER"
"1898",1,"ABSTRACT"
"1898",12,"ARTICLE"
"1898",16,"BOOK"
"18999",4,"ARTICLE"
"18a",4,"SPEAKER"
"18ª",7,"SPEAKER"
"18o",13,"SPEAKER"
"18º",105,"SPEAKER"
"18s",6,"ARTICLE"
"18th",6,"SPEAKER"
"190",1,"SPEAKER"
"1900",2,"ABSTRACT"
"1900",8,"BOOK_CHAPTER"
"1900",17,"ARTICLE"
"1900",31,"BOOK"
"1901",8,"BOOK"
"1901",8,"BOOK_CHAPTER"
"1901",12,"ARTICLE"
"19011",1,"ABSTRACT"
"1902",6,"ARTICLE"
"1903",5,"ARTICLE"
"1903",24,"BOOK_CHAPTER"
"1904",4,"ARTICLE"
"1905",8,"BOOK_CHAPTER"
"1905",9,"ARTICLE"
"1906",1,"ARTICLE"
"1906",1,"SPEAKER"
"1906",7,"BOOK"
"1907",4,"ARTICLE"
"1907",15,"BOOK_CHAPTER"
"1908",7,"BOOK"
"1908",8,"BOOK_CHAPTER"
"1908",38,"ARTICLE"
"1909",1,"ABSTRACT"
"1909",8,"BOOK"
"1909",23,"BOOK_CHAPTER"
"1909",33,"ARTICLE"
"190ºc",4,"ARTICLE"
"191",1,"ARTICLE"
"1910",7,"ARTICLE"
"1910",15,"BOOK"
"1910",24,"BOOK_CHAPTER"
"1911",1,"SPEAKER"
"1911",8,"ARTICLE"
"1911",8,"BOOK_CHAPTER"
"1912",1,"ABSTRACT"
"1912",9,"ARTICLE"
"1912",24,"BOOK_CHAPTER"
"1913",6,"ARTICLE"
"1913",32,"BOOK_CHAPTER"
"1914",2,"ABSTRACT"
"1914",3,"ARTICLE"
"1914",8,"BOOK"
"1914",16,"BOOK_CHAPTER"
"1915",2,"SPEAKER"
"1915",14,"ARTICLE"
"1915",24,"BOOK_CHAPTER"
"1915",32,"BOOK"
"1916",2,"ABSTRACT"
"1916",2,"ARTICLE"
"1916",8,"BOOK"
"1917",4,"SPEAKER"
"1917",10,"ARTICLE"
"1917",24,"BOOK_CHAPTER"
"1918",2,"SPEAKER"
"1918",7,"ARTICLE"
"1919",14,"ARTICLE"
"1919",40,"BOOK_CHAPTER"
"19190",2,"SPEAKER"
"192",1,"SPEAKER"
"192",2,"ARTICLE"
"192",6,"ABSTRACT"
"1920",2,"SPEAKER"
"1920",6,"ABSTRACT"
"1920",31,"BOOK"
"1920",41,"ARTICLE"
"1920",70,"BOOK_CHAPTER"
"1921",15,"ARTICLE"
"1921",16,"BOOK"
"1922",7,"ARTICLE"
"1922",8,"BOOK"
"1923",4,"ABSTRACT"
"1923",8,"BOOK"
"1923",10,"ARTICLE"
"1923",24,"BOOK_CHAPTER"
"1924",7,"ARTICLE"
"1924",8,"BOOK_CHAPTER"
"19246",2,"ABSTRACT"
"1925",20,"ARTICLE"
"1925",32,"BOOK_CHAPTER"
"1926",8,"BOOK"
"1926",13,"ARTICLE"
"1926",32,"BOOK_CHAPTER"
"19269",2,"ABSTRACT"
"1927",9,"ARTICLE"
"1927",16,"BOOK"
"1927",32,"BOOK_CHAPTER"
"1928",4,"ARTICLE"
"1928",39,"BOOK_CHAPTER"
"1929",2,"SPEAKER"
"1929",3,"ARTICLE"
"1929",8,"BOOK_CHAPTER"
"193",2,"ABSTRACT"
"193",8,"BOOK"
"1930",3,"SPEAKER"
"1930",10,"ABSTRACT"
"1930",40,"BOOK"
"1930",116,"ARTICLE"
"1930",120,"BOOK_CHAPTER"
"1930s",2,"ARTICLE"
"1931",6,"ARTICLE"
"1931",8,"BOOK_CHAPTER"
"1932",5,"ARTICLE"
"1932",8,"BOOK"
"1932",15,"BOOK_CHAPTER"
"1933",8,"ARTICLE"
